name,time,value
humidity,1657989703832187212,-1
humidity,1657989713079056192,52
humidity,1657989722345065443,52
humidity,1657989731612242617,52
humidity,1657989740871223773,52
humidity,1657989750120239922,52
humidity,1657989759375165399,54
humidity,1657989768624264806,53
humidity,1657989777869428548,53
humidity,1657989787141135510,52
humidity,1657989796419287366,52
humidity,1657989805674896770,52
humidity,1657989814929448241,52
humidity,1657989824215703089,53
humidity,1657989833468243992,52
humidity,1657989842758773857,52
humidity,1657989851988673900,51
humidity,1657989861242375766,51
humidity,1657989870502658692,51
humidity,1657989879771035216,52
humidity,1657989889028732679,52
humidity,1657989898292737706,52
humidity,1657989907555929576,52
humidity,1657989916814829578,52
humidity,1657989926088852945,52
humidity,1657989935355333489,52
humidity,1657989944607967972,52
humidity,1657989953852915350,52
humidity,1657989963112158210,52
humidity,1657989972372955464,52
humidity,1657989981635397710,52
humidity,1657989990894231975,52
humidity,1657990000159328992,52
humidity,1657990009417078911,52
humidity,1657990018684383943,52
humidity,1657990027944413162,52
humidity,1657990037210293303,52
humidity,1657990046494414738,52
humidity,1657990055767383204,52
humidity,1657990065016940921,52
humidity,1657990074292788524,52
humidity,1657990083550857652,52
humidity,1657990092823638473,53
humidity,1657990102103615666,52
humidity,1657990111360495594,52
humidity,1657990120634622536,52
humidity,1657990129893729313,52
humidity,1657990139173195682,52
humidity,1657990148428800375,52
humidity,1657990157707722145,52
humidity,1657990166968619654,51
humidity,1657990176243647100,51
humidity,1657990185505975507,51
humidity,1657990194776119667,52
humidity,1657990204053041236,53
humidity,1657990213321902506,52
humidity,1657990222618402169,53
humidity,1657990231883564987,52
humidity,1657990241153063914,52
humidity,1657990250411688606,51
humidity,1657990259670246326,51
humidity,1657990268937163384,51
humidity,1657990278206916750,52
humidity,1657990287485764183,51
humidity,1657990296759229608,52
humidity,1657990306011816666,51
humidity,1657990315279468361,52
humidity,1657990324536363164,51
humidity,1657990333812677664,51
humidity,1657990343071616479,51
humidity,1657990352337555153,52
humidity,1657990361604504424,51
humidity,1657990370864277543,51
humidity,1657990380123937724,52
humidity,1657990389376822744,51
humidity,1657990398643892460,51
