name,time,external,internal
temperature,1657989708958556834,110,29.8
temperature,1657989718211345882,110,29.9
temperature,1657989727483437134,110,31.1
temperature,1657989736741521035,110,30.1
temperature,1657989745993861421,110,29.7
temperature,1657989755247195817,110,31.1
temperature,1657989764503844989,110,30.8
temperature,1657989773743243961,110,29.5
temperature,1657989783010116024,110,30.4
temperature,1657989792273805939,110,29.9
temperature,1657989801547919161,110,30.6
temperature,1657989810811277750,110,30.6
temperature,1657989820080754444,110,-1
temperature,1657989829334326608,110,31.8
temperature,1657989838594589670,110,30.6
temperature,1657989847853822136,110,30.6
temperature,1657989857116209623,110,30.1
temperature,1657989866366926408,110,30.3
temperature,1657989875635881585,110,31.1
temperature,1657989884900825146,110,30.6
temperature,1657989894166625239,110,30.7
temperature,1657989903433081103,110,30.3
temperature,1657989912683159034,110,30.7
temperature,1657989921947489993,110,30.6
temperature,1657989931217086459,110,30.8
temperature,1657989940475253995,110,30.6
temperature,1657989949726235470,110,30.6
temperature,1657989958983207489,110,30.3
temperature,1657989968243934568,110,30.4
temperature,1657989977509725205,110,30.3
temperature,1657989986764359476,110,30
temperature,1657989996024561212,110,29.3
temperature,1657990005284149334,110,30.6
temperature,1657990014558415716,110,30
temperature,1657990023807563621,110,30.6
temperature,1657990033077089304,110,30.3
temperature,1657990042356061113,110,30.8
temperature,1657990051631506740,110,31.4
temperature,1657990060892709596,110,30.6
temperature,1657990070153851844,110,30.9
temperature,1657990079421705574,110,30.1
temperature,1657990088698628565,110,30.3
temperature,1657990097969811709,110,30.2
temperature,1657990107232408444,110,30.4
temperature,1657990116495785498,110,30.4
temperature,1657990125761366978,110,30.1
temperature,1657990135041991655,110,30.3
temperature,1657990144295896760,110,30.5
temperature,1657990153568882889,110,29.5
temperature,1657990162839011163,110,30.3
temperature,1657990172100695336,110,30.8
temperature,1657990181370184130,110,30.4
temperature,1657990190636080111,110,30.6
temperature,1657990199911062273,110,30.5
temperature,1657990209190186750,110,30.7
temperature,1657990218455750620,110,30.4
temperature,1657990227736290336,110,30.1
temperature,1657990237019221648,110,30.4
temperature,1657990246284527554,110,30.6
